date,United States_AverageTemperature
1743-11-01,5.818071428571429
1743-12-01,
1744-01-01,
1744-02-01,
1744-03-01,
1744-04-01,12.760438775510206
1744-05-01,17.082938775510204
1744-06-01,22.232969387755105
1744-07-01,23.49945918367347
1744-08-01,
1744-09-01,17.393010204081634
1744-10-01,11.316857142857142
1744-11-01,6.014591836734694
1744-12-01,0.5653775510204082
1745-01-01,0.18809183673469387
1745-02-01,0.8141122448979592
1745-03-01,4.333112244897959
1745-04-01,10.821163265306122
1745-05-01,
1745-06-01,
1745-07-01,
1745-08-01,
1745-09-01,
1745-10-01,
1745-11-01,
1745-12-01,
1746-01-01,
1746-02-01,
1746-03-01,
1746-04-01,
1746-05-01,
1746-06-01,
1746-07-01,
1746-08-01,
1746-09-01,
1746-10-01,
1746-11-01,
1746-12-01,
1747-01-01,
1747-02-01,
1747-03-01,
1747-04-01,
1747-05-01,
1747-06-01,
1747-07-01,
1747-08-01,
1747-09-01,
1747-10-01,
1747-11-01,
1747-12-01,
1748-01-01,
1748-02-01,
1748-03-01,
1748-04-01,
1748-05-01,
1748-06-01,
1748-07-01,
1748-08-01,
1748-09-01,
1748-10-01,
1748-11-01,
1748-12-01,
1749-01-01,
1749-02-01,
1749-03-01,
1749-04-01,
1749-05-01,
1749-06-01,
1749-07-01,
1749-08-01,
1749-09-01,
1749-10-01,
1749-11-01,
1749-12-01,
1750-01-01,-0.4869183673469389
1750-02-01,1.1480918367346942
1750-03-01,6.046132653061224
1750-04-01,11.390275510204082
1750-05-01,17.337408163265305
1750-06-01,20.801061224489796
1750-07-01,25.52065306122449
1750-08-01,23.76918367346939
1750-09-01,19.131591836734692
1750-10-01,11.086653061224489
1750-11-01,
1750-12-01,1.2740918367346938
1751-01-01,-0.28297959183673466
1751-02-01,0.6585612244897958
1751-03-01,6.517265306122449
1751-04-01,10.718357142857144
1751-05-01,
1751-06-01,22.211326530612244
1751-07-01,24.185316326530614
1751-08-01,23.266357142857142
1751-09-01,17.851602040816328
1751-10-01,
1751-11-01,
1751-12-01,
1752-01-01,-3.673857142857143
1752-02-01,
1752-03-01,6.6328367346938775
1752-04-01,10.286704081632653
1752-05-01,
1752-06-01,
1752-07-01,
1752-08-01,
1752-09-01,
1752-10-01,11.791132653061224
1752-11-01,8.20445918367347
1752-12-01,1.8187142857142855
1753-01-01,-0.21545918367346945
1753-02-01,1.2298469387755102
1753-03-01,7.204071428571429
1753-04-01,10.83088775510204
1753-05-01,17.571959183673467
1753-06-01,22.606969387755104
1753-07-01,24.083122448979594
1753-08-01,22.95084693877551
1753-09-01,18.069183673469386
1753-10-01,12.945122448979593
1753-11-01,5.987081632653061
1753-12-01,-0.5325204081632653
1754-01-01,0.2554081632653061
1754-02-01,-0.2010510204081632
1754-03-01,5.589642857142857
1754-04-01,
1754-05-01,
1754-06-01,22.05470408163265
