date,JPN_GDP
1960-02-01,99.302670650385
1960-03-01,99.0328849880262
1960-04-01,98.8034417123357
1960-05-01,98.6685458273428
1960-06-01,98.6701766896727
1960-07-01,98.8047128907445
1960-08-01,99.0458279481073
1960-09-01,99.3566015040215
1960-10-01,99.6932137879591
1960-11-01,100.013886424252
1960-12-01,100.285438195107
1961-01-01,100.490389150315
1961-02-01,100.623047718648
1961-03-01,100.689671601417
1961-04-01,100.713133930605
1961-05-01,100.724540858878
1961-06-01,100.757664899572
1961-07-01,100.844074269611
1961-08-01,101.003001028614
1961-09-01,101.227072532789
1961-10-01,101.462225831944
1961-11-01,101.639376725123
1961-12-01,101.70469222913
1962-01-01,101.653278774512
1962-02-01,101.504956407582
1962-03-01,101.2878684029
1962-04-01,101.028957581871
1962-05-01,100.751032929223
1962-06-01,100.472912385882
1962-07-01,100.210950813773
1962-08-01,99.9772958263295
1962-09-01,99.77703252041
1962-10-01,99.6033190856179
1962-11-01,99.4483767702252
1962-12-01,99.3121935285796
1963-01-01,99.2095640932275
1963-02-01,99.1615170276923
1963-03-01,99.18436387939
1963-04-01,99.2747475627772
1963-05-01,99.4221888980278
1963-06-01,99.61614036078
1963-07-01,99.8484079227966
1963-08-01,100.113227910721
1963-09-01,100.404029836291
1963-10-01,100.707245165782
1963-11-01,101.006084853889
1963-12-01,101.282748406453
1964-01-01,101.520280466278
1964-02-01,101.702372323592
1964-03-01,101.815335088825
1964-04-01,101.853409582996
1964-05-01,101.81396615288
1964-06-01,101.69758006112
1964-07-01,101.513172543453
1964-08-01,101.270969491461
1964-09-01,100.980161898343
1964-10-01,100.650534813376
1964-11-01,100.291696381621
1964-12-01,99.9149706434012
1965-01-01,99.5372141632503
1965-02-01,99.1769920836896
1965-03-01,98.8509063130588
1965-04-01,98.5687351126696
1965-05-01,98.335204062769
1965-06-01,98.1483883785863
1965-07-01,97.9944160907483
1965-08-01,97.8595627720123
1965-09-01,97.7393686758694
1965-10-01,97.6458332583777
1965-11-01,97.5996693244748
1965-12-01,97.6204255912752
1966-01-01,97.7129207238045
1966-02-01,97.8716000750215
1966-03-01,98.0789291863945
1966-04-01,98.2982177231531
1966-05-01,98.4887386883978
1966-06-01,98.6191440779468
1966-07-01,98.6820550073443
1966-08-01,98.684595794804
1966-09-01,98.6429832525073
1966-10-01,98.5807847345607
1966-11-01,98.5221060582376
1966-12-01,98.4858952148159
1967-01-01,98.4796385268255
1967-02-01,98.5051408025817
1967-03-01,98.561510696625
1967-04-01,98.6452549903269
1967-05-01,98.7497801156886
1967-06-01,98.8623176897103
1967-07-01,98.9587611958529
1967-08-01,99.014757913784
1967-09-01,99.017218732807
1967-10-01,98.9779115721104
1967-11-01,98.9208785704175
1967-12-01,98.8725353691725
1968-01-01,98.8528700401219
1968-02-01,98.8758989068018
1968-03-01,98.9477178362943
1968-04-01,99.0611097989842
1968-05-01,99.2084364960817
1968-06-01,99.3909209666092
1968-07-01,99.6249747946765
1968-08-01,99.924121507191
1968-09-01,100.276735444462
1968-10-01,100.618312807904
1968-11-01,100.87188171909
1968-12-01,100.988664910383
1969-01-01,100.993973897556
1969-02-01,100.946002706622
1969-03-01,100.902223957493
1969-04-01,100.890136523994
1969-05-01,100.921100146011
1969-06-01,101.001636579237
1969-07-01,101.14141999947
1969-08-01,101.348448173642
1969-09-01,101.619901904829
1969-10-01,101.927971687785
1969-11-01,102.233933873703
1969-12-01,102.499354752844
1970-01-01,102.697331653493
1970-02-01,102.811658038679
1970-03-01,102.840670501561
1970-04-01,102.806868582568
1970-05-01,102.734602748178
1970-06-01,102.632710962801
1970-07-01,102.480548471997
1970-08-01,102.248525783328
1970-09-01,101.922240255948
1970-10-01,101.531909088416
1970-11-01,101.125624806508
1970-12-01,100.748347704746
1971-01-01,100.423429856883
1971-02-01,100.15910514344
1971-03-01,99.9516296437919
1971-04-01,99.7844992427427
1971-05-01,99.6388052556929
1971-06-01,99.5009727273024
1971-07-01,99.3693085294694
1971-08-01,99.2527108581742
1971-09-01,99.1694198220674
1971-10-01,99.1451970240213
1971-11-01,99.2036204780365
1971-12-01,99.3526719983835
1972-01-01,99.5656311858126
1972-02-01,99.8041908921491
1972-03-01,100.037025703372
1972-04-01,100.256791214064
1972-05-01,100.471172459732
1972-06-01,100.695063017348
1972-07-01,100.943363896207
1972-08-01,101.229407282562
1972-09-01,101.561879524995
1972-10-01,101.939229758707
1972-11-01,102.349921046186
1972-12-01,102.769581180297
1973-01-01,103.155889500594
1973-02-01,103.462275863614
1973-03-01,103.654492341193
1973-04-01,103.733174647818
1973-05-01,103.713950020906
1973-06-01,103.61574846206
1973-07-01,103.456536408612
1973-08-01,103.241897435749
1973-09-01,102.958703189365
1973-10-01,102.573508263779
1973-11-01,102.056852238242
1973-12-01,101.414639502195
1974-01-01,100.727615577505
1974-02-01,100.099895690596
1974-03-01,99.6131467790153
1974-04-01,99.278898249212
1974-05-01,99.0702187602683
1974-06-01,98.941169861478
1974-07-01,98.8369070610095
1974-08-01,98.7099088862706
1974-09-01,98.5346691036963
1974-10-01,98.3240381196661
1974-11-01,98.1117648257951
1974-12-01,97.9378787079844
1975-01-01,97.8346491624034
1975-02-01,97.8239668997242
1975-03-01,97.90973611452
1975-04-01,98.0634433179723
1975-05-01,98.2450291776256
1975-06-01,98.4186905113525
1975-07-01,98.566705987915
1975-08-01,98.68256898344
1975-09-01,98.7657991574616
1975-10-01,98.8188986614546
1975-11-01,98.8449881928807
1975-12-01,98.847480617392
1976-01-01,98.8315679225311
1976-02-01,98.8032879327506
