date,GPRHC_IND,GPRHC_USA,GPRHC_JPN,GPRHC_IND
1900-01-01,0.2718798518180847,2.7187986373901367,0.09062661975622177,0.2718798518180847
1900-02-01,0.390352725982666,2.732469081878662,0.041823506355285645,0.390352725982666
1900-03-01,0.28343209624290466,2.1515073776245117,0.10306622087955475,0.28343209624290466
1900-04-01,0.12019230425357819,1.7761752605438232,0.1469017118215561,0.12019230425357819
1900-05-01,0.21739129722118378,1.9701087474822998,0.0679347813129425,0.21739129722118378
1900-06-01,0.3016177713871002,2.7282698154449463,0.726624608039856,0.3016177713871002
1900-07-01,0.6240042448043823,3.544875144958496,1.0355814695358276,0.6240042448043823
1900-08-01,0.25644487142562866,3.549736738204956,1.26872718334198,0.25644487142562866
1900-09-01,0.12211669236421585,2.008141040802002,0.2985074520111084,0.12211669236421585
1900-10-01,0.12350761890411377,1.2625223398208618,0.06861533969640732,0.12350761890411377
1900-11-01,0.08197841048240662,1.5985790491104126,0.08197841048240662,0.08197841048240662
1900-12-01,0.15698586404323578,1.6091052293777466,0.11773940175771713,0.15698586404323578
1901-01-01,0.24810273945331573,1.4448336362838745,0.10215995460748672,0.24810273945331573
1901-02-01,0.17006802558898926,1.6542980670928955,0.09276437759399414,0.17006802558898926
1901-03-01,0.15721023082733154,1.6864370107650757,0.38587966561317444,0.15721023082733154
1901-04-01,0.27668559551239014,1.2960536479949951,0.14562399685382843,0.27668559551239014
1901-05-01,0.07172571867704391,1.23368239402771,0.10041601210832596,0.07172571867704391
1901-06-01,0.23390203714370728,1.073197603225708,0.09631260484457016,0.23390203714370728
1901-07-01,0.08765522390604019,1.2125638723373413,0.043827611953020096,0.08765522390604019
1901-08-01,0.07492882013320923,2.023077964782715,0.014985763467848301,0.07492882013320923
1901-09-01,0.09361834824085236,1.435481309890747,0.06241223216056824,0.09361834824085236
1901-10-01,0.1807228922843933,1.2650601863861084,0.0602409653365612,0.1807228922843933
1901-11-01,0.15567506849765778,1.4859892129898071,0.08491367101669312,0.15567506849765778
1901-12-01,0.1827382594347,1.7711554765701294,0.028113579377532005,0.1827382594347
1902-01-01,0.1452145278453827,1.2013201713562012,0.026402641087770462,0.1452145278453827
1902-02-01,0.13245032727718353,1.4275202751159668,0.17660044133663177,0.13245032727718353
1902-03-01,0.13101008534431458,1.270797848701477,0.09170705825090408,0.13101008534431458
1902-04-01,0.12811388075351715,1.4804270267486572,0.02846975065767765,0.12811388075351715
1902-05-01,0.10823974758386612,1.2988770008087158,0.013529968447983265,0.10823974758386612
1902-06-01,0.1982029527425766,1.2420718669891357,0.05285412445664406,0.1982029527425766
1902-07-01,0.15682174265384674,1.2937793731689453,0.013068478554487228,0.15682174265384674
1902-08-01,0.09247028082609177,1.8758256435394287,0.09247028082609177,0.09247028082609177
1902-09-01,0.2248770147562027,1.7287421226501465,0.04216444119811058,0.2248770147562027
1902-10-01,0.23681095242500305,1.6971451044082642,0.0263123270124197,0.23681095242500305
1902-11-01,0.06787944585084915,0.8824328184127808,0.04072766751050949,0.06787944585084915
1902-12-01,0.19057990610599518,1.8241219520568848,0.02722570113837719,0.19057990610599518
1903-01-01,0.12330456078052521,1.7947664260864258,0.041101519018411636,0.12330456078052521
1903-02-01,0.11827321350574493,1.7593140602111816,0.0443524532020092,0.11827321350574493
1903-03-01,0.11357899755239487,1.0095911026000977,0.0,0.11357899755239487
1903-04-01,0.057520851492881775,1.0928962230682373,0.08628127723932266,0.057520851492881775
1903-05-01,0.05346164107322693,1.202886939048767,0.12028869241476059,0.05346164107322693
1903-06-01,0.05549389496445656,0.9988901019096375,0.05549389496445656,0.05549389496445656
1903-07-01,0.12652888894081116,1.138759970664978,0.2671165466308594,0.12652888894081116
1903-08-01,0.08037508279085159,1.9691895246505737,0.08037508279085159,0.08037508279085159
1903-09-01,0.12955231964588165,2.130415916442871,0.04318410903215408,0.12955231964588165
1903-10-01,0.0986054390668869,1.5636005401611328,0.6479786038398743,0.0986054390668869
1903-11-01,0.1640464812517166,2.214627504348755,0.2870813310146332,0.1640464812517166
1903-12-01,0.1849217712879181,2.1906116008758545,0.682788074016571,0.1849217712879181
1904-01-01,0.31600114703178406,3.030738353729248,1.5943694114685059,0.31600114703178406
1904-02-01,0.18639329075813293,4.426840782165527,3.3861448764801025,0.18639329075813293
1904-03-01,0.16388557851314545,2.786054849624634,2.249701976776123,0.16388557851314545
1904-04-01,0.2421673983335495,1.8465263843536377,1.2713788747787476,0.2421673983335495
1904-05-01,0.14777597784996033,2.5713019371032715,1.861977219581604,0.14777597784996033
1904-06-01,0.0923503190279007,2.0778820514678955,1.4314298629760742,0.0923503190279007
1904-07-01,0.22462445497512817,2.13393235206604,1.572371244430542,0.22462445497512817
1904-08-01,0.12309586256742477,2.6927218437194824,1.8002769947052002,0.12309586256742477
1904-09-01,0.0958007350564003,2.219383716583252,1.1975091695785522,0.0958007350564003
1904-10-01,0.0449303574860096,1.917028546333313,1.213119626045227,0.0449303574860096
1904-11-01,0.0841325893998146,1.4470806121826172,0.7067137956619263,0.0841325893998146
1904-12-01,0.0157903041690588,1.4053370952606201,0.9632086157798767,0.0157903041690588
1905-01-01,0.1804782748222351,2.0905399322509766,1.0678297281265259,0.1804782748222351
1905-02-01,0.11670556664466858,2.000666856765747,0.5835278630256653,0.11670556664466858
1905-03-01,0.1669955998659134,2.277212619781494,1.2600576877593994,0.1669955998659134
1905-04-01,0.11517420411109924,1.3245033025741577,0.4894903600215912,0.11517420411109924
1905-05-01,0.12501953542232513,1.562744140625,0.7657446265220642,0.12501953542232513
