date,USA_GDP
1960-01-01,101.019828880085
1960-02-01,101.030481370259
1960-03-01,100.953829330167
1960-04-01,100.792360071519
1960-05-01,100.565271133403
1960-06-01,100.290355140217
1960-07-01,99.9706220037057
1960-08-01,99.605532632401
1960-09-01,99.2050473677961
1960-10-01,98.8063403068339
1960-11-01,98.4567663382218
1960-12-01,98.197116417347
1961-01-01,98.041704398571
1961-02-01,97.991416597633
1961-03-01,98.0386439433185
1961-04-01,98.1641886692749
1961-05-01,98.3472413494408
1961-06-01,98.5693273932474
1961-07-01,98.8137755150548
1961-08-01,99.0670470181158
1961-09-01,99.3180520736973
1961-10-01,99.5563941179473
1961-11-01,99.7718975405054
1961-12-01,99.9546011342842
1962-01-01,100.095957968024
1962-02-01,100.189100833088
1962-03-01,100.231658602749
1962-04-01,100.231600627224
1962-05-01,100.198908572458
1962-06-01,100.140010237606
1962-07-01,100.054317465927
1962-08-01,99.9392183889443
1962-09-01,99.7966717303598
1962-10-01,99.6415460325809
1962-11-01,99.4935547164219
1962-12-01,99.3700121097863
1963-01-01,99.2780130513173
1963-02-01,99.2202084105076
1963-03-01,99.1980187977877
1963-04-01,99.2121320705446
1963-05-01,99.2610519207158
1963-06-01,99.3367848919698
1963-07-01,99.4177517681953
1963-08-01,99.4815505665991
1963-09-01,99.5169963464449
1963-10-01,99.5370125661552
1963-11-01,99.5627724393835
1963-12-01,99.6087797026261
1964-01-01,99.6673994241583
1964-02-01,99.7213481046178
1964-03-01,99.7549413484994
1964-04-01,99.7653774445122
1964-05-01,99.7553085731872
1964-06-01,99.7269170450661
1964-07-01,99.6773476029878
1964-08-01,99.6052228682499
1964-09-01,99.5184741993329
1964-10-01,99.4435655138442
1964-11-01,99.410663741378
1964-12-01,99.4381275039481
1965-01-01,99.5140233572266
1965-02-01,99.6159477472641
1965-03-01,99.7270233306124
1965-04-01,99.849853242466
1965-05-01,99.9973086770757
1965-06-01,100.182418688793
1965-07-01,100.406406317877
1965-08-01,100.66384733556
1965-09-01,100.94487937246
1965-10-01,101.234870256266
1965-11-01,101.514936828765
1965-12-01,101.761732440338
1966-01-01,101.947906708033
1966-02-01,102.048759501579
1966-03-01,102.053236348099
1966-04-01,101.980834410481
1966-05-01,101.862510771683
1966-06-01,101.727260762603
1966-07-01,101.592393008819
1966-08-01,101.465971244096
1966-09-01,101.349454443626
1966-10-01,101.239930628298
1966-11-01,101.131442257568
1966-12-01,101.016027058223
1967-01-01,100.884909712478
1967-02-01,100.731901287254
1967-03-01,100.558112221126
1967-04-01,100.378385102492
1967-05-01,100.212603672506
1967-06-01,100.077836785894
1967-07-01,99.9798851416952
1967-08-01,99.921005288078
1967-09-01,99.9051237795506
1967-10-01,99.9404325923353
1967-11-01,100.035373448885
1967-12-01,100.191152167057
1968-01-01,100.390059208199
1968-02-01,100.605869876234
1968-03-01,100.811229667895
1968-04-01,100.983994639181
1968-05-01,101.107710357363
1968-06-01,101.174542873393
1968-07-01,101.191788737704
1968-08-01,101.174488377443
1968-09-01,101.141721168102
1968-10-01,101.115575910799
1968-11-01,101.113677543512
1968-12-01,101.141495156801
1969-01-01,101.183090953419
1969-02-01,101.214151165348
1969-03-01,101.214105017951
1969-04-01,101.179089927818
1969-05-01,101.111533619395
1969-06-01,101.012393064609
1969-07-01,100.875921309467
1969-08-01,100.694290765093
1969-09-01,100.464987439494
1969-10-01,100.201428469102
1969-11-01,99.9234439484351
1969-12-01,99.6504821389228
1970-01-01,99.3961427441461
1970-02-01,99.1695503978378
1970-03-01,98.9755108877096
1970-04-01,98.8127815017497
1970-05-01,98.6759623126082
1970-06-01,98.5551694021401
1970-07-01,98.433892461195
1970-08-01,98.3013937869617
1970-09-01,98.1650091744247
1970-10-01,98.0630893708806
1970-11-01,98.0384651957075
1970-12-01,98.1097195562106
1971-01-01,98.250303788943
1971-02-01,98.4088972323452
1971-03-01,98.5379354924217
1971-04-01,98.6208395793413
1971-05-01,98.6589430822219
1971-06-01,98.6614941624612
1971-07-01,98.6387260516293
1971-08-01,98.6031380135729
1971-09-01,98.5725244309893
1971-10-01,98.5738686565893
1971-11-01,98.6351986328544
1971-12-01,98.7752032933348
1972-01-01,98.9884296698122
1972-02-01,99.2568198723172
1972-03-01,99.5557421792122
1972-04-01,99.8559405159954
1972-05-01,100.132708117792
1972-06-01,100.374978430279
1972-07-01,100.596032411861
1972-08-01,100.820327125893
1972-09-01,101.071662994803
1972-10-01,101.361008819362
1972-11-01,101.687555673128
1972-12-01,102.036909283199
1973-01-01,102.376448056095
1973-02-01,102.666313169353
1973-03-01,102.871268379142
1973-04-01,102.976241920286
1973-05-01,102.979807029913
1973-06-01,102.894609016075
1973-07-01,102.754860698557
1973-08-01,102.596177997169
1973-09-01,102.439615574116
1973-10-01,102.277420904746
1973-11-01,102.089915793813
1973-12-01,101.862659957751
1974-01-01,101.605234202058
1974-02-01,101.335057238372
1974-03-01,101.063624478496
1974-04-01,100.78396467949
1974-05-01,100.48126340329
1974-06-01,100.143959434547
1974-07-01,99.7763094009082
1974-08-01,99.3890314644074
1974-09-01,98.9923005487432
1974-10-01,98.5903323570861
1974-11-01,98.1881768920657
1974-12-01,97.7987439271254
1975-01-01,97.4496955955246
1975-02-01,97.1729337225426
1975-03-01,96.991509788467
1975-04-01,96.9151358506468
1975-05-01,96.939777002243
1975-06-01,97.0529614267877
1975-07-01,97.2314746462125
1975-08-01,97.4521860355244
1975-09-01,97.6979824707819
1975-10-01,97.9605111051226
1975-11-01,98.2342084931806
1975-12-01,98.508809114627
