args_data,args_model,args_train_epochs,args_batch_size,args_seq_len,args_pred_len,args_feature_type,args_target,args_norm_type,args_activation,args_train_len,args_scaler_type,args_dropout,args_n_block,args_ff_dim,args_kernel_size,args_learning_rate,args_patience,args_seed,scalar_type_name
gold_price_prediction_with_world_data,tsmixer,100,32,1,1,MS,gold_price,B,relu,0.7,S,0.1,2,128,4,0.0001,10,1,StandardScaler
gold_price_prediction_with_world_data,tsmixer,100,32,1,1,MS,gold_price,B,relu,0.7,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
gold_price_prediction_with_world_data,tsmixer,100,32,1,1,MS,gold_price,B,relu,0.75,S,0.1,2,128,4,0.0001,10,1,StandardScaler
gold_price_prediction_with_world_data,tsmixer,100,32,1,1,MS,gold_price,B,relu,0.75,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
gold_price_prediction_with_world_data,tsmixer,100,32,1,1,MS,gold_price,B,relu,0.8,S,0.1,2,128,4,0.0001,10,1,StandardScaler
gold_price_prediction_with_world_data,tsmixer,100,32,1,1,MS,gold_price,B,relu,0.8,M,0.1,2,128,4,0.0001,10,1,MinMaxScaler
gold_price_prediction_with_world_data,tsmixer,100,32,1,1,MS,gold_price,B,relu,0.7,S,0.1,2,128,4,0.001,10,1,StandardScaler
gold_price_prediction_with_world_data,tsmixer,100,32,1,1,MS,gold_price,B,relu,0.7,M,0.1,2,128,4,0.001,10,1,MinMaxScaler
gold_price_prediction_with_world_data,tsmixer,100,32,1,1,MS,gold_price,B,relu,0.75,S,0.1,2,128,4,0.001,10,1,StandardScaler
gold_price_prediction_with_world_data,tsmixer,100,32,1,1,MS,gold_price,B,relu,0.75,M,0.1,2,128,4,0.001,10,1,MinMaxScaler
gold_price_prediction_with_world_data,tsmixer,100,32,1,1,MS,gold_price,B,relu,0.8,S,0.1,2,128,4,0.001,10,1,StandardScaler
gold_price_prediction_with_world_data,tsmixer,100,32,1,1,MS,gold_price,B,relu,0.8,M,0.1,2,128,4,0.001,10,1,MinMaxScaler
gold_price_prediction_with_world_data,tsmixer,100,32,1,1,MS,gold_price,B,relu,0.7,S,0.1,2,128,4,0.01,10,1,StandardScaler
gold_price_prediction_with_world_data,tsmixer,100,32,1,1,MS,gold_price,B,relu,0.7,M,0.1,2,128,4,0.01,10,1,MinMaxScaler
gold_price_prediction_with_world_data,tsmixer,100,32,1,1,MS,gold_price,B,relu,0.75,S,0.1,2,128,4,0.01,10,1,StandardScaler
gold_price_prediction_with_world_data,tsmixer,100,32,1,1,MS,gold_price,B,relu,0.75,M,0.1,2,128,4,0.01,10,1,MinMaxScaler
gold_price_prediction_with_world_data,tsmixer,100,32,1,1,MS,gold_price,B,relu,0.8,S,0.1,2,128,4,0.01,10,1,StandardScaler
gold_price_prediction_with_world_data,tsmixer,100,32,1,1,MS,gold_price,B,relu,0.8,M,0.1,2,128,4,0.01,10,1,MinMaxScaler
